Cluster Index	Value	x	y	z	
54	6.35	0	12	11
54	6.21	0	13	13
54	5.88	19	17	0
54	5.78	23	24	11
54	5.61	18	11	13
54	5.58	7	21	0
54	5.55	12	6	23
54	5.39	1	0	18
54	5.28	13	3	22
54	5.12	0	10	16
54	5.06	0	20	11
54	5.03	5	0	14
54	5	0	18	24
54	4.97	8	3	2
54	4.87	13	24	19
54	4.83	9	0	7
54	4.7	15	8	18
54	4.66	16	24	24
54	4.58	22	4	8
54	4.56	3	19	18
54	4.56	18	7	7
54	4.54	7	7	3
54	4.53	18	16	12
54	4.51	10	15	23
54	4.5	9	24	17
54	4.5	20	20	14
54	4.49	19	0	0
54	4.49	7	16	0
54	4.48	12	14	0
54	4.46	6	17	21
54	4.45	15	17	0
54	4.42	5	10	18
54	4.38	12	7	15
54	4.35	23	6	11
54	4.31	22	24	5
54	4.26	19	15	6
54	4.26	21	18	9
54	4.25	22	7	4
54	4.23	17	10	2
54	4.23	0	21	5
54	4.22	17	11	18
54	4.22	13	5	0
54	4.21	11	8	17
54	4.21	24	8	14
54	4.16	17	5	14
54	4.12	15	17	10
54	4.11	11	24	24
54	4.1	6	5	13
54	4.09	21	21	24
54	4.09	24	5	17
54	4.09	6	8	0
54	4.08	21	17	24
54	4.08	24	8	21
54	4.05	21	16	22
54	4.02	5	23	22
54	4.01	13	14	5
54	4	19	0	10
54	3.97	2	24	9
54	3.96	22	12	13
54	3.93	7	17	13
54	3.91	0	18	17
54	3.83	23	15	8
54	3.8	2	17	6
54	3.79	0	6	11
54	3.75	4	8	23
54	3.74	23	7	0
54	3.72	10	3	12
54	3.7	11	1	12
54	3.7	0	7	21
54	3.66	18	23	7
54	3.6	11	17	16
54	3.57	0	13	21
54	3.56	1	24	23
54	3.55	18	24	15
54	3.49	16	19	23
54	3.42	20	14	17
54	3.4	12	0	23
54	3.35	9	24	0
54	3.34	17	20	20
54	3.32	5	24	10
54	3.31	24	18	9
54	3.23	13	23	15
54	3.22	19	22	19
54	3.18	24	23	0
54	3.05	14	0	0
53	5.63	24	2	24
52	4.04	12	10	9
51	4.4	6	0	23
50	4.43	17	33	23
49	6.06	0	0	1
48	3.82	49	13	34
47	4.14	49	4	8
46	5.17	0	7	0
45	3.84	12	22	38
44	3.76	12	49	1
43	4.23	35	19	0
42	3.74	15	0	6
41	3.64	0	2	6
40	3.6	42	0	49
40	3.53	39	0	49
39	3.69	49	2	36
38	3.71	41	0	42
37	3.35	22	12	44
36	3.51	46	40	9
35	3.13	27	35	38
34	3.36	1	32	3
33	3.5	40	42	49
32	3.52	49	26	29
31	3.45	14	13	24
30	3.54	24	11	24
29	3.16	49	20	28
28	3.08	37	14	37
27	4.24	0	24	49
26	3.52	19	47	49
25	3.33	26	23	0
24	3.2	44	43	4
23	3.15	0	12	3
22	4.25	49	48	0
21	3.42	24	24	24
20	3.32	29	12	49
19	3.56	24	0	11
18	3.13	35	13	3
17	3.33	49	0	42
16	3.17	43	49	49
15	3.26	36	25	49
14	3.06	40	36	0
13	3.09	23	9	49
12	3.18	0	36	0
11	3.14	0	43	0
10	3.04	8	30	47
9	3.2	47	31	44
8	3.27	0	49	43
7	3.52	47	0	9
6	3.14	13	39	33
5	3.15	34	41	10
4	3.24	22	37	18
3	3.24	26	12	0
2	3.08	23	18	28
1	3.02	43	49	23
